"id","mp_name","party","rebellions","attended","possible","percent"
6073,"Іван Крулько","ВО ""Батьківщина""",2082,9100,11746,23
6130,"Олександр Дехтярчук","Блок Петра Порошенка",3052,11534,11746,26
6201,"Михайло Довбенко","Блок Петра Порошенка",3030,11371,11746,27
6332,"Руслан Лук'янчук","Народний фронт",2396,10488,11746,23
6548,"Ігор Шурма","Опозиційний блок",6908,10706,11746,65
7175,"Леонід Козаченко","Блок Петра Порошенка",4067,10246,11746,40
7371,"Антон Кіссе","група ""Партія ""Відродження""",3699,9614,11783,38
7718,"Сергій Льовочкін","Опозиційний блок",456,3863,11746,12
7741,"Геннадій Чекіта","Блок Петра Порошенка",4116,9168,11746,45
8125,"Павло Пинзеник","Народний фронт",2090,11124,11746,19
8132,"Віктор Вовк","Радикальна партія Олега Ляшка",1212,9521,11746,13
8238,"Владислав Голуб","Позафракційні",3101,8897,11746,35
8473,"Андрій Шинькович","Блок Петра Порошенка",2918,11261,11746,26
8693,"Наталія Королевська","Опозиційний блок",1292,8527,11746,15
8696,"Сергій Пашинський","Народний фронт",2512,10980,11746,23
8715,"Віталій Чепинога","Блок Петра Порошенка",2666,3646,11746,73
8723,"Олексій Білий","Опозиційний блок",3647,9863,11746,37
8725,"Вячеслав Богуслаєв","група ""Воля народу""",380,905,11746,42
8737,"Олександр Вілкул","Опозиційний блок",1112,9582,11746,12
8741,"Юрій Воропаєв","Опозиційний блок",4517,8394,11746,54
8746,"Євгеній Гєллєр","група ""Партія ""Відродження""",559,5260,11783,11
8757,"Людмила Денісова","Народний фронт",1045,9541,11746,11
8771,"Володимир Зубик","група ""Партія ""Відродження""",994,10359,11783,10
8781,"Сергій Клюєв","Позафракційні",106,212,11746,50
8786,"Андрій Кожем'якін","ВО ""Батьківщина""",1820,5927,11746,31
8803,"Віталій Курило","Блок Петра Порошенка",2661,9973,11746,27
8815,"Андрій Лопушанський","Блок Петра Порошенка",3708,9470,11746,39
8818,"Олег Ляшко","Радикальна партія Олега Ляшка",545,10811,11746,5
8826,"Юрій Мірошниченко","Опозиційний блок",3942,9815,11746,40
8827,"Сергій Міщенко","Позафракційні",2857,6464,11746,44
8830,"Григорій Немиря","ВО ""Батьківщина""",1420,7098,11746,20
8832,"Юрій Одарченко","ВО ""Батьківщина""",1426,4405,6041,32
8838,"Валерій Писаренко","група ""Партія ""Відродження""",480,3170,11783,15
8885,"Дмитро Шенцев","Опозиційний блок",837,6652,11746,13
9123,"Іван Рибак","Блок Петра Порошенка",3127,11123,11746,28
9540,"Павло Унгурян","Народний фронт",1993,9301,11746,21
9684,"Ірина Фріз","Блок Петра Порошенка",2500,11113,11746,22
9776,"Віталій Барвіненко","група ""Партія ""Відродження""",1251,8346,11783,15
10096,"Роман Романюк","Блок Петра Порошенка",2795,10427,11746,27
10204,"Олексій Ленський","Радикальна партія Олега Ляшка",1962,10859,11746,18
11094,"Юрій Бойко","Опозиційний блок",1112,9379,11746,12
11096,"Дмитро Шпенов","Опозиційний блок",2802,9695,11746,29
11097,"Олександр Супруненко","група ""Воля народу""",3225,8756,11746,37
11098,"Дмитро Колєсніков","Опозиційний блок",3307,9987,11746,33
11102,"Юрій Мороко","Опозиційний блок",3213,8347,11746,38
11106,"Іван Мирний","Опозиційний блок",469,3333,11746,14
11109,"Юлія Льовочкіна","Опозиційний блок",845,7834,11746,11
11118,"Володимир Ар'єв","Блок Петра Порошенка",1484,8585,11746,17
11121,"Ірина Геращенко","Позафракційні",3919,9740,11746,40
11131,"Василь Петьовка","група ""Воля народу""",3128,7641,11746,41
11166,"Олена Кондратюк","ВО ""Батьківщина""",1567,8981,11722,17
11173,"Руслан Богдан","ВО ""Батьківщина""",1599,3891,6041,41
11342,"Олена Матузко","Блок Петра Порошенка",3272,11223,11746,29
11584,"Андрій Парубій","Позафракційні",4460,11733,11746,38
11596,"Світлана Войцеховська","Народний фронт",2019,9440,11746,21
11620,"Олександр Присяжнюк","Народний фронт",2400,8591,11746,28
11694,"Андрій Левус","Народний фронт",1568,9433,11746,17
11728,"Сергій Євтушок","ВО ""Батьківщина""",1594,10508,11746,15
11999,"Ірина Суслова","Блок Петра Порошенка",2554,8757,15771,29
12003,"Олег Медуниця","Народний фронт",1725,10856,11746,16
12265,"Сергій Власенко","ВО ""Батьківщина""",1153,5446,11746,21
12270,"Олександр Сочка","Народний фронт",985,10482,11746,9
12272,"Валерій Дубіль","ВО ""Батьківщина""",1060,5707,10059,19
12290,"Василь Амельченко","Радикальна партія Олега Ляшка",1409,9125,11746,15
12455,"Олексій Кириченко","Радикальна партія Олега Ляшка",1044,11098,11746,9
13379,"Наталія Новак","Блок Петра Порошенка",5225,10104,11746,52
13562,"Денис Омельянович","Опозиційний блок",520,1652,11746,31
13646,"Максим Курячий","Блок Петра Порошенка",2343,10757,11746,22
13694,"Андрій Кісельов","Опозиційний блок",1933,10085,11746,19
14393,"Станіслав Березкін","група ""Партія ""Відродження""",961,6312,11783,15
14674,"Ігор Гузь","Народний фронт",1234,10115,11746,12
15257,"Владислав Бухарєв","ВО ""Батьківщина""",996,5766,11746,17
15309,"Олександр Кодола","Народний фронт",858,10731,11746,8
15644,"Олександр Долженков","Опозиційний блок",3546,9523,11746,37
15645,"Микола Княжицький","Народний фронт",1834,10036,11746,18
15647,"Ірина Луценко","Блок Петра Порошенка",2467,9602,11480,26
15651,"Андрій Павелко","Блок Петра Порошенка",2218,9874,11746,22
15652,"Денис Дзензерський","Народний фронт",1235,2339,11746,53
15653,"Сергій Фаєрмарк","Народний фронт",2421,10539,11746,23
15654,"Андрій Іванчук","Народний фронт",3318,10525,11746,32
15655,"Максим Бурбак","Народний фронт",1685,11266,11746,15
15658,"Володимир Шкварилюк","Народний фронт",3141,11496,11746,27
15662,"Валерій Лунченко","Народний фронт",2766,10715,11746,26
15665,"Марія Матіос","Блок Петра Порошенка",2365,5694,11739,42
15667,"Оксана Продан","Блок Петра Порошенка",4428,9747,11746,45
15669,"Наталія Агафонова","Блок Петра Порошенка",4469,7955,11746,56
15670,"Артур Палатний","Блок Петра Порошенка",3609,11320,11746,32
15671,"Микола Паламарчук","Блок Петра Порошенка",3862,10747,11746,36
15672,"Марія Іонова","Блок Петра Порошенка",2314,10073,11746,23
15674,"Валерій Пацкан","Блок Петра Порошенка",2793,11362,11746,25
15676,"Геннадій Ткачук","Блок Петра Порошенка",3039,10253,11746,30
15680,"Ігор Побер","Блок Петра Порошенка",3018,11262,11722,27
15681,"Юрій Савчук","Народний фронт",1462,6184,11746,24
15684,"Ольга Бєлькова","Блок Петра Порошенка",3042,10254,11746,30
15685,"Валерій Іщенко","Блок Петра Порошенка",2939,10859,11746,27
15725,"Олександр Нечаєв","Опозиційний блок",2985,6424,11746,46
15727,"Олександр Домбровський","Блок Петра Порошенка",2471,10450,11746,24
